To,From,Exports (Millions),Year
Costa Rica,United States,2300.26,2004
Costa Rica,United States,2409.69,2005
Costa Rica,United States,2728.92,2006
Costa Rica,United States,2772.63,2007
Costa Rica,United States,2827.09,2008
Costa Rica,United States,2439.10,2009
Costa Rica,United States,2829.68,2010
Costa Rica,United States,3097.21,2011
Costa Rica,United States,3395.96,2012
Costa Rica,United States,3355.45,2013
Costa Rica,United States,3528.84,2014
Costa Rica,United States,3545.65,2015
Costa Rica,United States,3962.79,2016
Costa Rica,United States,4205.66,2017
Costa Rica,United States,4437.17,2018
Costa Rica,United States,4724.48,2019
