"","leave_share","import_shock","immigrant_share","immigrant_arrivals","fiscal_cuts","median_wage_growth","UKIP_vote_share","nuts3","nuts1"
"1",64.1934272941337,0.322369337081909,3.52112676056338,0.464941009570359,69.5629653930664,-1.35741412639618,34.983325958252,"UKC11","UKC"
"2",65.8638641923743,0.226717740297318,5.88235294117647,0.863210698421256,112.11954498291,-2.23385643959045,36.313907623291,"UKC12","UKC"
"3",56.1831562919189,0.195981368422508,7.69230769230769,0.672694171012436,-9.4536247253418,8.68317699432373,30.6632099151611,"UKC13","UKC"
"4",57.5460549443152,0.43925467133522,4.1015625,0.343388774086815,8.91362857818604,-0.312142580747604,28.1497917175293,"UKC14","UKC"
"5",54.1061207132906,0.317529588937759,2.57234726688103,0.211047995044047,-101.431228637695,-0.74575012922287,27.3764019012451,"UKC21","UKC"
"6",54.6006850379975,0.286803513765335,7.75656324582339,1.01094384515744,-15.0487041473389,2.04142689704895,26.4846019744873,"UKC22","UKC"
"7",61.3397456895268,0.321307897567749,5.09090909090909,0.689538617542674,62.6653861999512,-2.34585404396057,30.0277061462402,"UKC23","UKC"
"8",60.193826554082,0.425417810678482,3.04347826086957,0.359558736088085,-38.5804023742676,3.15142273902893,29.9044647216797,"UKD11","UKD"
"9",53.3432866294056,0.425417810678482,4.63320463320463,0.969504559770304,-186.933715820312,-8.86911964416504,24.5055999755859,"UKD12","UKD"
"10",39.6360014666971,0.259720772504807,26.4875239923225,3.60511697468219,49.5315628051758,-0.315918266773224,15.8992691040039,"UKD33","UKD"
"11",49.0813436200165,0.337066262960434,13.8947368421053,1.80966984209839,-15.8480939865112,-4.81395149230957,25.1848373413086,"UKD34","UKD"
"12",53.1122010231894,0.44424444437027,8.49802371541502,0.545599211912249,-15.096248626709,-7.16284227371216,28.4034309387207,"UKD35","UKD"
"13",61.3307317332165,0.401691466569901,7.83333333333333,0.907174783400767,18.5060710906982,-4.20105028152466,31.8801651000977,"UKD36","UKD"
"14",58.4148853565722,0.598698973655701,12.96,1.07217407001548,59.6113090515137,-6.2753005027771,28.9042682647705,"UKD37","UKD"
"15",56.3356347881998,0.671219348907471,15.8620689655172,1.33813858281434,116.751426696777,-6.74427366256714,23.6557216644287,"UKD41","UKD"
"16",67.4555859369163,0.116165101528168,6.61764705882353,0.91876829083447,358.420715332031,-4.84273052215576,33.8828582763672,"UKD42","UKD"
"17",56.9563299514777,0.470151901245117,5.24193548387097,0.762546320632881,-69.3490219116211,-6.98331737518311,30.686954498291,"UKD44","UKD"
"18",56.2261684279333,0.470151901245117,7.63157894736842,1.0632142039423,-135.324981689453,-8.77068996429443,31.0899639129639,"UKD45","UKD"
"19",64.216710886452,0.470151901245117,10.7692307692308,0.874246104978799,69.0955657958984,-5.81319141387939,30.0564441680908,"UKD46","UKD"
"20",56.0674810023237,0.470151901245117,6.78733031674208,0.665030254595273,-112.861366271973,-4.85633230209351,29.4276599884033,"UKD47","UKD"
"21",54.2685680539151,0.195883616805077,8.78048780487805,1.20414940287594,-121.535957336426,2.38644504547119,29.4831371307373,"UKD61","UKD"
"22",51.176031656303,0.324150800704956,4.5822102425876,1.10895224500046,-190.867904663086,-12.1807718276978,30.1737632751465,"UKD62","UKD"
"23",50.6786815957672,0.260262221097946,5.45454545454545,0.821542232405385,-118.419692993164,-9.90672969818115,29.8734283447266,"UKD63","UKD"
"24",55.8576922909398,0.361210316419601,3.125,0.426776620676288,127.468933105469,2.33194017410278,25.5865249633789,"UKD71","UKD"
"25",41.8075793155625,0.212636724114418,11.0874200426439,2.22391070180739,146.56298828125,-1.29444539546967,20.9034976959229,"UKD72","UKD"
"26",48.1315679140913,0.183315843343735,5.18518518518519,0.569748765039246,33.4128952026367,-4.57130146026611,28.3337860107422,"UKD73","UKD"
"27",48.2959302325581,0.216892346739769,4.08805031446541,0.378147797057248,80.6655197143555,-7.11302089691162,26.2320556640625,"UKD74","UKD"
"28",67.6158969608751,0.264491677284241,10.1960784313725,1.94696894329972,71.8357925415039,-2.77644062042236,35.765453338623,"UKE11","UKE"
"29",60.3956463816203,0.192941799759865,3.91566265060241,0.553792701785392,-156.024169921875,-9.36461639404297,37.9611434936523,"UKE12","UKE"
"30",67.9797907580849,0.282224476337433,5.52147239263804,1.19602084507599,-43.6638031005859,-8.65955829620361,38.631046295166,"UKE13","UKE"
"31",41.9552919708029,0.0939920395612717,9.80392156862745,1.20595110654753,-235.412979125977,-3.24142694473267,23.8773784637451,"UKE21","UKE"
"32",54.9412469419859,0.193976446986198,6.13287904599659,0.581149619611158,-202.174575805664,-1.97368788719177,31.3603038787842,"UKE22","UKE"
"33",68.4094896932521,0.310225158929825,5.26976160602258,1.31062277480864,28.524621963501,-4.73147916793823,37.4181671142578,"UKE31","UKE"
"34",50.9902419091819,0.273498058319092,10.8540925266904,1.50569745017068,-84.1967163085938,-2.28262662887573,27.6592884063721,"UKE32","UKE"
"35",54.23173208221,0.452247202396393,16.1904761904762,1.4268990950336,32.1206283569336,-2.08727931976318,24.781229019165,"UKE41","UKE"
"36",49.6916122136537,0.352020055055618,11.1111111111111,1.77185543797327,-95.8037185668945,-3.33827090263367,27.3585529327393,"UKE42","UKE"
"37",54.9966735259078,0.596373677253723,10.1880877742947,0.765703612505914,-45.6863975524902,-5.1309986114502,27.3823356628418,"UKE44","UKE"
"38",66.3640726225706,0.394650459289551,7.57575757575758,1.12727255379948,11.7251758575439,-6.26012372970581,36.0425148010254,"UKE45","UKE"
