"","ID","support_iec","altruism","reciprocity","industry","emp_status","age","female","educ_high","incgr_high","right"
"557",148707122,0,1,1,NA,3,77,0,1,1,1
"558",148707474,0,0,1,0,1,33,1,0,0,1
"559",148708520,0,1,0,NA,0,59,1,1,1,0
"560",148709391,0,0,1,1,1,59,1,1,0,0
"561",148709931,0,0,0,NA,0,64,0,0,0,1
"562",148710060,1,1,0,1,1,53,0,1,0,0
"563",148710512,0,1,1,NA,3,66,1,1,1,0
"564",148710751,0,1,1,NA,3,77,1,0,0,1
"565",148711859,1,0,1,NA,0,29,0,1,0,0
"566",148712984,1,0,1,NA,2,21,0,0,0,0
"567",148713522,1,1,1,0,1,26,0,1,0,0
"568",148713648,1,1,1,0,1,58,1,1,1,0
"569",148713797,0,0,0,NA,0,50,1,0,1,1
"570",148713846,1,0,1,NA,2,41,1,1,0,0
"571",148714556,1,1,1,0,1,28,0,1,0,0
"572",148714921,1,1,0,0,1,29,0,1,0,1
"573",148715032,0,1,0,0,1,53,0,1,0,1
"574",148715344,0,0,1,NA,0,42,1,0,1,0
"575",148715378,1,0,1,NA,3,73,1,1,1,1
"576",148716456,1,0,1,0,1,41,0,0,1,0
"577",148716595,1,0,0,NA,3,70,1,1,0,0
"578",148716689,0,0,0,NA,3,69,1,0,0,0
"579",148717404,1,1,0,NA,3,85,1,1,0,0
"580",148717437,0,0,1,NA,3,67,0,1,1,1
"581",148717876,1,0,0,0,1,61,0,1,1,0
"582",148717954,0,0,1,NA,3,68,0,0,0,0
"583",148718357,1,0,1,NA,2,45,1,1,0,0
"584",148718985,1,1,0,NA,0,54,0,0,0,1
"585",148719193,1,1,1,0,1,63,0,1,0,0
"586",148719248,1,1,0,0,1,61,1,1,1,0
"587",148719549,1,0,1,NA,0,23,0,1,1,0
"588",148719863,1,0,1,NA,2,19,1,1,1,0
"589",148720604,0,1,0,1,1,60,0,1,0,0
"590",148720899,0,0,0,NA,3,63,0,0,0,1
"591",148720956,0,1,0,0,1,59,0,1,1,1
"592",148721094,1,0,1,0,1,35,0,1,1,0
"593",148721120,0,0,0,0,1,69,0,1,1,1
"594",148721386,1,0,1,NA,0,60,1,1,1,0
"595",148721919,0,0,0,NA,2,45,0,1,0,0
"596",148721971,1,1,1,0,1,22,1,1,0,0
"597",148722141,1,1,0,NA,0,58,0,1,1,1
"598",148722922,0,1,0,NA,3,63,1,0,1,1
"599",148723935,1,1,0,NA,3,75,0,1,0,0
"600",148723949,0,1,0,0,1,62,0,1,1,1
"601",148724024,1,0,0,NA,0,52,0,1,0,0
"602",148724560,1,0,0,NA,3,77,1,0,0,0
"603",148725019,1,0,1,0,1,41,0,1,1,0
"604",148725602,0,0,0,NA,3,69,1,0,0,0
"605",148725603,0,1,0,NA,0,57,1,0,0,1
"606",148725607,0,1,1,NA,3,60,1,0,0,1
"607",148725608,1,1,1,NA,0,63,1,0,0,0
"608",148725625,0,1,0,NA,3,78,0,0,0,1
"609",148725631,1,1,0,1,1,58,0,0,0,0
"610",148725648,1,0,1,NA,0,24,1,1,0,1
"611",148725707,1,0,0,NA,0,46,1,0,0,0
"612",148725748,0,0,1,NA,2,48,1,1,0,0
"613",148725749,0,0,1,NA,0,48,1,1,0,0
"614",148725754,0,0,0,1,1,50,0,1,1,1
"615",148725765,1,1,1,0,1,43,0,1,1,0
"616",148725768,0,0,1,1,1,48,0,1,1,1
"617",148725905,1,1,0,NA,0,71,1,1,0,0
"618",148726623,1,1,1,0,1,32,0,1,1,0
"619",148726659,1,0,1,NA,2,51,1,1,1,0
"620",148727292,1,0,1,1,1,59,0,1,0,0
"621",148727313,0,0,0,NA,0,58,1,1,1,1
"622",148727338,1,0,1,0,1,62,1,1,0,0
"623",148727346,0,0,0,1,1,65,0,1,0,1
"624",148727399,1,1,1,0,1,40,0,0,1,0
"625",148727430,0,1,0,NA,3,50,1,1,0,0
"626",148727436,1,0,0,NA,2,53,0,1,0,0
"627",148727444,0,1,0,NA,0,58,0,0,1,0
"628",148727455,1,0,0,NA,0,55,0,0,0,0
"629",148727529,0,0,0,1,1,50,1,1,0,0
"630",148727542,0,0,1,1,1,52,0,1,1,1
"631",148727593,1,1,0,0,1,56,0,1,1,0
"632",148728164,0,0,1,0,1,60,1,0,0,0
"633",148728606,0,0,0,NA,0,45,0,1,0,1
"634",148728615,0,0,0,0,1,64,0,1,1,1
"635",148728628,0,1,1,NA,2,44,0,1,0,1
"636",148728665,0,0,0,0,1,61,1,1,0,1
"637",148728695,1,0,1,1,1,67,1,1,0,0
"638",148728756,0,1,1,0,1,43,0,1,1,1
"639",148729256,0,1,1,NA,0,58,0,1,0,1
"640",148729262,1,0,0,NA,0,57,0,1,1,0
"641",148729264,0,0,0,1,1,54,1,1,1,1
"642",148729279,1,0,1,NA,3,72,1,1,0,0
"643",148729299,0,0,0,NA,3,65,0,1,0,1
"644",148729366,0,1,1,NA,3,81,0,0,0,0
"645",148729403,1,0,0,NA,0,53,0,0,0,0
"646",148729412,0,0,1,0,1,53,1,0,1,0
"647",148729438,1,0,0,1,1,48,0,0,1,0
"648",148729557,1,1,0,NA,2,62,1,1,1,0
"649",148729676,0,0,0,NA,1,51,1,0,0,0
"650",148729819,0,0,0,NA,3,78,1,0,1,1
"651",148730245,1,1,1,0,1,30,1,1,0,0
"652",148730316,1,1,0,0,1,63,1,1,1,0
"653",148730325,0,0,1,0,1,35,0,1,0,0
"654",148730331,1,0,0,NA,1,25,1,1,1,0
"655",148730853,0,1,1,1,1,46,0,0,1,1
"656",148731685,1,1,0,NA,3,84,0,1,0,0
"657",148731710,0,0,1,0,1,53,0,1,1,0
"658",148732085,0,0,1,0,1,57,1,1,0,1
"659",148732092,1,0,1,NA,2,54,1,1,0,0
"660",148732109,1,0,1,0,1,56,1,1,1,0
"661",148733313,0,1,0,0,1,33,1,0,0,1
"662",148733344,1,0,1,0,1,30,0,1,1,0
"663",148733416,0,0,1,NA,3,55,0,1,1,1
"664",148733445,0,0,0,1,1,51,0,0,1,1
"665",148733871,1,1,1,NA,3,65,1,1,0,0
"666",148733930,0,0,0,0,1,40,1,1,1,1
"667",148733945,0,0,1,0,1,40,0,1,1,1
"668",148734454,1,0,1,NA,2,29,1,1,0,1
"669",148734536,1,0,1,0,1,31,0,1,1,0
"670",148734553,1,0,0,NA,2,64,0,1,1,0
"671",148735014,0,1,0,NA,0,52,1,1,1,1
"672",148735028,1,0,1,0,1,56,1,1,1,0
"673",148735299,1,1,0,0,1,72,1,0,1,0
"674",148735576,1,0,0,0,1,62,0,1,1,0
"675",148735577,0,1,0,1,1,48,0,1,1,1
"676",148735694,0,0,0,NA,1,29,0,1,1,1
"677",148736309,1,1,0,NA,2,64,0,1,0,0
"678",148736313,1,1,1,0,1,30,0,1,0,0
"679",148736393,1,0,0,NA,3,69,0,0,0,0
"680",148736525,1,1,0,NA,0,54,1,1,1,0
"681",148736558,0,0,0,0,1,61,1,1,1,1
"682",148736593,1,0,0,0,1,47,1,1,1,0
"683",148736605,0,0,0,NA,3,67,1,1,0,1
"684",148736654,1,0,1,0,1,56,1,1,0,0
"685",148736920,1,1,0,NA,0,63,0,0,0,0
"686",148737852,0,1,1,1,1,32,0,1,0,0
"687",148737853,0,0,0,1,1,23,0,1,0,0
"688",148737935,0,0,0,NA,3,81,0,1,1,1
"689",148738131,0,0,1,1,1,25,0,1,1,1
"690",148738204,1,0,0,NA,3,68,1,0,0,0
"691",148739053,1,0,0,NA,3,77,0,1,1,0
"692",148739172,1,1,1,NA,2,38,0,1,0,0
"693",148739471,0,0,1,0,1,26,1,1,1,1
"694",148739480,1,1,1,NA,0,48,1,0,1,0
"695",148739498,1,0,1,NA,2,19,1,0,1,0
"696",148739549,1,1,1,0,1,66,0,1,1,0
"697",148739741,0,0,1,NA,3,66,1,0,0,1
"698",148739841,1,0,1,NA,3,70,1,1,0,0
"699",148740176,1,0,1,1,1,29,0,1,1,0
"700",148740191,0,1,1,NA,3,47,0,0,0,1
"701",148740209,1,0,1,NA,3,64,1,1,0,1
"702",148740253,1,1,1,NA,3,75,0,1,0,0
"703",148740535,1,1,0,0,1,58,0,1,1,0
"704",148740544,0,0,0,0,1,29,0,1,0,0
"705",148741102,1,0,0,1,1,63,0,1,0,1
"706",148741303,1,0,1,0,1,52,0,1,0,0
"707",148741586,1,0,1,NA,0,53,1,0,1,1
"708",148741773,1,0,1,1,1,35,1,1,0,0
"709",148741874,0,0,1,NA,3,58,1,0,0,1
"710",148742399,0,1,0,0,1,55,0,1,0,0
"711",148742632,0,1,1,NA,0,23,1,1,0,0
"712",148742644,0,1,0,1,1,31,0,0,0,1
"713",148742649,1,0,1,NA,2,25,1,1,1,1
"714",148742665,0,0,1,1,1,24,1,1,0,0
"715",148742693,1,0,1,0,1,22,1,0,0,0
"716",148742799,1,0,0,NA,2,50,0,1,0,0
"717",148742958,0,0,1,1,1,32,1,1,1,1
"718",148743366,1,0,0,NA,2,62,1,0,0,1
"719",148743416,1,1,0,0,1,55,0,0,0,1
"720",148743472,0,0,0,1,1,70,0,1,1,1
"721",148743834,0,0,1,1,1,54,0,1,1,1
"722",148743920,1,0,0,0,1,45,0,1,1,0
"723",148744159,1,1,0,0,1,58,0,0,0,0
"724",148744258,1,0,0,NA,0,56,0,1,0,0
"725",148744312,0,1,0,0,1,59,0,0,1,1
"726",148744404,1,1,0,NA,0,53,0,1,1,0
"727",148744408,0,0,0,0,1,58,0,1,0,0
"728",148744447,0,0,0,NA,3,74,0,0,0,1
"729",148744478,0,0,1,0,1,56,0,1,0,0
"730",148744754,1,0,1,1,1,44,1,1,0,0
"731",148744765,0,0,0,NA,3,74,1,0,0,1
"732",148744882,1,1,0,0,1,59,1,1,1,0
"733",148745364,0,0,1,0,1,19,1,0,0,0
"734",148745399,0,0,1,0,1,48,1,1,0,1
"735",148745476,0,0,0,0,1,57,1,1,1,0
"736",148745973,1,0,1,NA,3,62,0,1,1,0
"737",148746017,0,0,0,1,1,51,0,0,0,1
"738",148746021,0,0,0,NA,3,61,0,0,0,1
"739",148746357,0,0,1,NA,3,67,1,0,0,0
"740",148746584,0,1,1,1,1,50,0,0,0,0
"741",148746604,1,0,1,NA,0,32,1,1,1,0
"742",148746724,0,0,0,0,1,43,1,1,0,1
"743",148747047,0,0,0,NA,3,68,1,1,1,1
"744",148747647,1,1,1,0,1,43,0,1,1,0
"745",148748585,1,1,1,0,1,59,0,1,1,0
"746",148748647,1,1,1,1,1,48,0,1,0,0
"747",148749153,0,0,1,NA,3,66,0,0,0,0
"748",148749302,0,0,1,0,1,64,0,1,0,0
"749",148749674,1,1,0,NA,3,56,1,1,1,0
"750",148749853,1,1,0,NA,3,64,1,0,0,1
"751",148750015,1,1,1,0,1,21,1,1,0,1
"752",148750256,0,0,1,0,1,26,1,1,0,1
"753",148750671,1,1,1,NA,0,27,1,0,1,1
"754",148750753,0,1,1,NA,3,76,0,1,0,1
"755",148750919,0,0,0,NA,3,64,0,0,0,0
"756",148751359,0,1,1,NA,3,66,1,1,0,1
"757",148751382,0,0,1,NA,0,53,1,0,0,0
"758",148751438,1,0,1,NA,3,72,1,0,0,1
"759",148751484,0,0,0,1,1,53,0,0,1,0
"760",148752051,0,0,1,0,1,55,0,1,0,1
"761",148752538,1,1,1,NA,3,63,0,0,0,0
"762",148752808,1,0,1,NA,0,38,1,1,0,1
"763",148753121,0,0,0,0,1,46,0,0,0,1
"764",148753134,0,0,0,NA,0,39,1,0,0,0
"765",148753163,1,1,1,0,1,61,0,1,1,0
"766",148753166,0,1,0,1,1,55,0,0,0,0
"767",148753171,1,1,1,NA,3,67,0,0,0,0
"768",148753738,1,1,1,NA,0,62,1,1,1,0
"769",148754051,0,0,1,1,1,21,1,1,0,0
"770",148754191,0,1,0,1,1,42,0,1,0,0
"771",148754251,0,1,0,NA,3,78,0,1,1,1
"772",148754316,0,0,1,1,1,62,0,1,1,1
"773",148754721,0,0,0,NA,3,62,1,0,0,1
"774",148754876,0,0,0,NA,1,48,1,1,0,1
"775",148754913,0,0,1,NA,0,50,1,0,0,1
"776",148754922,0,1,0,NA,0,43,0,0,0,1
"777",148754941,1,0,0,NA,0,56,0,0,0,1
"778",148754969,0,0,0,0,1,50,1,1,0,0
"779",148755478,0,0,0,NA,0,55,1,1,0,0
"780",148755482,1,1,1,0,1,62,0,1,1,0
"781",148755866,1,1,1,NA,0,34,1,0,0,1
"782",148755916,1,0,1,NA,3,64,0,1,0,0
"783",148755966,0,1,0,1,1,61,0,1,0,1
"784",148756687,0,0,0,1,1,37,1,0,0,0
"785",148756688,0,1,0,NA,0,58,0,0,0,0
"786",148756716,1,1,1,0,1,59,0,1,0,0
"787",148756718,1,0,0,NA,3,69,0,0,0,1
"788",148756719,0,0,1,NA,3,69,1,0,0,1
"789",148756723,0,0,0,1,1,57,0,0,0,1
"790",148756727,1,0,0,NA,3,54,0,0,1,0
"791",148756733,0,0,0,NA,3,58,0,0,0,1
"792",148756737,0,0,0,NA,3,72,0,0,0,1
"793",148756740,0,0,0,0,1,64,0,1,1,1
"794",148756751,0,0,1,NA,3,79,1,0,0,0
"795",148756762,0,0,1,NA,2,67,1,0,0,1
"796",148756807,1,1,1,NA,3,75,1,0,0,1
"797",148757243,1,1,1,NA,3,68,0,1,1,0
"798",148757618,0,0,0,1,1,50,0,1,1,0
