To,From,Exports (Millions),Year
Costa Rica,Argentina,2.82,2000
Costa Rica,Argentina,2.54,2001
Costa Rica,Argentina,0.42,2002
Costa Rica,Argentina,0.94,2003
Costa Rica,Argentina,1.74,2004
Costa Rica,Argentina,2.01,2005
Costa Rica,Argentina,3.05,2006
Costa Rica,Argentina,6.17,2007
Costa Rica,Argentina,11.54,2008
Costa Rica,Argentina,13.53,2009
Costa Rica,Argentina,10.84,2010
Costa Rica,Argentina,13.10,2011
Costa Rica,Argentina,11.13,2012
Costa Rica,Argentina,7.05,2013
Costa Rica,Argentina,5.80,2014
Costa Rica,Argentina,9.73,2015
Costa Rica,Argentina,7.66,2016
Costa Rica,Argentina,15.80,2017
Costa Rica,Argentina,11.06,2018
Costa Rica,Argentina,13.68,2019
Costa Rica,Brazil,5.37,2000
Costa Rica,Brazil,15.67,2001
Costa Rica,Brazil,17.82,2002
Costa Rica,Brazil,9.86,2003
Costa Rica,Brazil,13.14,2004
Costa Rica,Brazil,10.62,2005
Costa Rica,Brazil,18.18,2006
Costa Rica,Brazil,24.24,2007
Costa Rica,Brazil,35.51,2008
Costa Rica,Brazil,19.87,2009
Costa Rica,Brazil,38.40,2010
Costa Rica,Brazil,35.29,2011
Costa Rica,Brazil,29.80,2012
Costa Rica,Brazil,33.29,2013
Costa Rica,Brazil,25.99,2014
Costa Rica,Brazil,20.13,2015
Costa Rica,Brazil,34.46,2016
Costa Rica,Brazil,41.93,2017
Costa Rica,Brazil,41.60,2018
Costa Rica,Brazil,19.99,2019
Costa Rica,Canada,26.85,2000
Costa Rica,Canada,27.12,2001
Costa Rica,Canada,28.67,2002
Costa Rica,Canada,29.02,2003
Costa Rica,Canada,30.64,2004
Costa Rica,Canada,52.08,2005
Costa Rica,Canada,69.24,2006
Costa Rica,Canada,59.45,2007
Costa Rica,Canada,49.86,2008
Costa Rica,Canada,45.95,2009
Costa Rica,Canada,89.01,2010
Costa Rica,Canada,85.12,2011
Costa Rica,Canada,67.88,2012
Costa Rica,Canada,78.03,2013
Costa Rica,Canada,69.15,2014
Costa Rica,Canada,100.34,2015
Costa Rica,Canada,85.45,2016
Costa Rica,Canada,77.17,2017
Costa Rica,Canada,80.37,2018
Costa Rica,Canada,105.31,2019
Costa Rica,Chile,4.86,2000
Costa Rica,Chile,5.41,2001
Costa Rica,Chile,5.08,2002
Costa Rica,Chile,7.35,2003
Costa Rica,Chile,11.61,2004
Costa Rica,Chile,12.74,2005
Costa Rica,Chile,14.52,2006
Costa Rica,Chile,25.70,2007
Costa Rica,Chile,23.61,2008
Costa Rica,Chile,20.75,2009
Costa Rica,Chile,38.42,2010
Costa Rica,Chile,23.14,2011
Costa Rica,Chile,25.72,2012
Costa Rica,Chile,28.09,2013
Costa Rica,Chile,39.43,2014
Costa Rica,Chile,36.99,2015
Costa Rica,Chile,34.74,2016
Costa Rica,Chile,34.25,2017
Costa Rica,Chile,33.01,2018
Costa Rica,Chile,28.25,2019
Costa Rica,Colombia,20.54,2000
Costa Rica,Colombia,22.80,2001
Costa Rica,Colombia,23.02,2002
Costa Rica,Colombia,26.00,2003
Costa Rica,Colombia,31.39,2004
Costa Rica,Colombia,36.09,2005
Costa Rica,Colombia,41.75,2006
Costa Rica,Colombia,49.99,2007
Costa Rica,Colombia,66.50,2008
Costa Rica,Colombia,39.57,2009
Costa Rica,Colombia,50.98,2010
Costa Rica,Colombia,48.05,2011
Costa Rica,Colombia,62.41,2012
Costa Rica,Colombia,71.42,2013
Costa Rica,Colombia,78.45,2014
Costa Rica,Colombia,70.72,2015
Costa Rica,Colombia,70.39,2016
Costa Rica,Colombia,57.41,2017
Costa Rica,Colombia,55.75,2018
Costa Rica,Colombia,62.30,2019
Costa Rica,Ecuador,16.37,2000
