obs,hdi,educ,imr,gdppc,unem,developing,europe,asia,africa,america,oceania
"Guinea",0.465515000621699,2.707392597,56.4,2337.951524,3.6,1,0,0,1,0,0
"GuineaBissau",0.461406000722445,3.303495308,55.6,1596.35546,4.1,1,0,0,1,0,0
"Guyana",0.670296096453139,8.46676505,26,7616.69406,12.2,1,0,0,1,0,0
"Haiti",0.502731374551794,5.441686,53.9,1656.293838,13.5,1,0,0,0,1,0
"Honduras",0.622981471060965,6.5964413,15.6,4559.736508,4.1,1,0,0,0,1,0
"Hong Kong",0.93880914959384,12.03813,2.8,57322.45777,2.8,0,0,1,0,0,0
"Hungary",0.844699935545313,11.88941481,3.8,28242.94443,3.7,0,1,0,0,0,0
"Iceland",0.938473875045387,12.53666119,1.6,48605.57707,2.9,0,1,0,0,0,0
"India",0.646901099922656,6.452132788,32,6899.213892,2.6,1,0,1,0,0,0
"Indonesia",0.706857949708208,7.976152649,21.4,11605.85533,4.3,1,0,1,0,0,0
"Iran",0.797483335773824,10.01153929,12.8,19097.96678,12,0,0,1,0,0,0
"Iraq",0.688784073662805,7.316,25.3,15564.62795,7.9,1,0,1,0,0,0
"Ireland",0.942472820797525,12.52629458,3,70361.0489,5.7,0,1,0,0,0,0
"Israel",0.906234943490542,12.95921504,2.9,33660.98728,4,0,0,1,0,0,0
"Italy",0.882583978567803,10.24509,2.9,35739.00278,10.2,0,1,0,0,0,0
"Jamaica",0.725679363984711,9.796912678,13.1,8265.620972,9.5,1,0,0,1,0,0
"Japan",0.914696376200975,12.8,1.9,39293.50037,2.5,0,0,1,0,0,0
"Jordan",0.723445120391015,10.452,14.6,8309.30376,15,1,0,1,0,0,0
"Kazakhstan",0.817243848840449,11.784,8.9,24738.36283,4.9,1,0,1,0,0,0
"Kenya",0.578587728014701,6.564,33.6,3076.844818,9.3,1,0,0,1,0,0
"Kiribati",0.623243758584917,7.865527643,42.7,2035.449728,5.4,0,0,0,0,0,1
"Korea",0.905831888027426,12.18500103,2.8,36776.51928,3.8,0,0,1,0,0,0
"Kuwait",0.808352434510086,7.275667996,6.9,65515.3657,2.1,0,0,1,0,0,0
"Kyrgyzstan",0.67420282975007,10.88040163,17.9,3446.99394,7.2,1,0,1,0,0,0
"Lao",0.604069321859048,5.202,48.6,6614.488239,0.6,1,0,1,0,0,0
"Latvia",0.853901518579769,12.82536903,3.6,26437.42917,7.9,0,1,0,0,0,0
"Lebanon",0.73007789114178,8.7,6.7,11607.17582,6.2,0,0,1,0,0,0
"Lesotho",0.517954879574867,6.348,66.5,2864.914934,23.6,1,0,0,1,0,0
"Liberia",0.464720318954408,4.668,55.9,1161.177916,2,1,0,0,1,0,0
"Libya",0.707567974206122,7.56,10.6,18405.50403,17.3,1,0,0,1,0,0
"Liechtenstein",0.916724353173152,12.54845788,2.8,14282.72182,5.4,0,1,0,0,0,0
"Lithuania",0.869307679134763,12.96103366,3.4,31065.06338,6,0,1,0,0,0,0
"Luxembourg",0.908719936638489,12.19580174,2.1,93734.28443,5.5,0,1,0,0,0,0
"Madagascar",0.520697358930592,6.1,32.7,1452.586792,1.7,1,0,0,1,0,0
